hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Borough,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
short_name,long_name,Queens,Astoria,76150,66456.2028,72023.98965,81276.88505,74119.072,69261.17463,71412.12882,76080.36212,70646.34913,97118.73773,75892.48161,71779.52592,83986.75337,79541
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bay Ridge,83930,92974.70624,82349.13235,90519.64711,90159.11998,81240.01208,89592.41276,82627.04115,93049.42548,85261.62703,89233.31791,92265.84566,98894.74603,100507
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Queens,Bayside/Little Neck,93340,92422.96068,93766.71686,96012.61457,95917.91548,86101.30243,96585.93431,91561.42175,82282.05545,90955.69004,90639.55106,93607.21801,79222.59549,95676
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bedford Stuyvesant,75080,88094.54776,83517.53866,78895.3999,79813.16193,92575.82772,82007.90495,90858.32814,112726.0324,82172.21667,103732.5375,88642.78957,111591.3542,90255
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bensonhurst,61260,71931.50256,71046.09748,69355.53248,59704.75141,59359.09314,78025.65172,71389.46022,76656.51481,71901.87257,75143.68083,84158.38748,92589.75248,85559
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Borough Park,57950,78127.17124,72562.97585,70471.99872,82390.98552,61638.07151,66606.91341,66710.47515,75797.76751,76720.00676,69689.93268,86598.00196,88942.49664,77753
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Brooklyn Heights/Fort Greene,107130,105814.8793,125395.6808,127798.2458,138594.7035,133542.9065,117240.628,123523.4723,108014.6421,126245.2107,126591.4403,130526.6479,138109.6251,161056
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Brownsville/Ocean Hill,44490,69387.2736,66430.34993,67780.64196,65498.2106,71125.48345,69000.68394,68799.17235,70044.37367,63284.54176,81829.32705,84145.91926,62498.61794,76513
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Bushwick,74860,67293.12023,63257.92783,73431.44664,78718.94457,67203.73204,77882.04759,58466.18797,66978.02784,67758.82396,74156.48205,93292.39553,87853.10952,90795
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Central Harlem,86160,111722.8964,101404.1633,98618.08931,121891.4235,126215.1844,82892.72738,127659.6994,96107.24776,115480.645,105481.1395,95647.84955,135143.1088,132688
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Manhattan,Chelsea/Clinton/Midtown,158180,142608.2489,163641.9964,153615.0768,140613.2862,130729.9701,185672.4186,137630.8452,155733.7168,141039.2591,184490.6488,152243.1651,143566.7514,134569
hh_inc_own_med_adj,"Median household income, homeowners (2018$)",Brooklyn,Coney Island,70700,75349.84527,76532.42227,66871.91736,73874.11521,58081.00208,77503.15359,69309.42981,68114.85584,64768.2579,76067.86693,88503.56114,78020.09146,69949
