Borough,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brooklyn,Bay Ridge,0.275,0.285,0.299,0.286,0.318,0.325,0.313,0.322,0.297,0.322,0.289,0.315,0.31,0.299
Brooklyn,Bedford Stuyvesant,0.307,0.353,0.316,0.314,0.336,0.338,0.344,0.325,0.343,0.337,0.325,0.32,0.306,0.329
Brooklyn,Bensonhurst,0.32,0.376,0.349,0.336,0.319,0.364,0.339,0.3,0.331,0.356,0.331,0.354,0.363,0.359
Brooklyn,Borough Park,0.369,0.341,0.37,0.395,0.383,0.446,0.5,0.422,0.467,0.435,0.439,0.48,0.439,0.422
Brooklyn,Brooklyn Heights/Fort Greene,0.272,0.275,0.249,0.255,0.255,0.265,0.29,0.272,0.264,0.263,0.263,0.262,0.259,0.274
Brooklyn,Brownsville/Ocean Hill,0.35,0.334,0.319,0.335,0.363,0.337,0.339,0.376,0.348,0.399,0.344,0.381,0.477,0.366
Brooklyn,Bushwick,0.333,0.394,0.324,0.347,0.349,0.333,0.363,0.351,0.327,0.344,0.334,0.337,0.33,0.33
Brooklyn,Coney Island,0.298,0.321,0.315,0.312,0.321,0.352,0.363,0.327,0.339,0.342,0.327,0.33,0.346,0.324
Brooklyn,East Flatbush,0.304,0.331,0.328,0.335,0.331,0.346,0.354,0.331,0.382,0.364,0.327,0.334,0.364,0.319
Brooklyn,East New York/Starrett City,0.295,0.34,0.34,0.336,0.349,0.333,0.344,0.331,0.327,0.366,0.34,0.331,0.367,0.357
Brooklyn,Flatbush,0.348,0.317,0.331,0.328,0.332,0.339,0.359,0.353,0.359,0.34,0.349,0.352,0.344,0.311
Brooklyn,Flatlands/Canarsie,0.292,0.288,0.295,0.289,0.29,0.274,0.335,0.326,0.308,0.333,0.311,0.3,0.297,0.297
Brooklyn,North Crown Heights/Prospect Heights,0.341,0.304,0.324,0.333,0.292,0.321,0.327,0.307,0.335,0.319,0.312,0.317,0.303,0.304
Brooklyn,Park Slope/Carroll Gardens,0.272,0.244,0.261,0.272,0.255,0.279,0.264,0.262,0.252,0.242,0.249,0.248,0.235,0.259
Brooklyn,Sheepshead Bay/Gravesend,0.35,0.359,0.344,0.322,0.314,0.318,0.362,0.327,0.353,0.357,0.33,0.332,0.337,0.333
Brooklyn,South Crown Heights,0.295,0.322,0.296,0.368,0.334,0.346,0.351,0.371,0.318,0.377,0.346,0.319,0.338,0.29
Brooklyn,Sunset Park,0.353,0.286,0.352,0.319,0.362,0.336,0.333,0.376,0.358,0.382,0.368,0.333,0.319,0.319
Brooklyn,Williamsburg/Greenpoint,0.326,0.313,0.307,0.303,0.319,0.312,0.305,0.296,0.294,0.319,0.285,0.301,0.298,0.282
Queens,Astoria,0.323,0.296,0.288,0.278,0.295,0.315,0.315,0.296,0.298,0.306,0.295,0.286,0.275,0.283
Queens,Bayside/Little Neck,0.331,0.285,0.27,0.324,0.321,0.3,0.34,0.365,0.313,0.291,0.281,0.318,0.39,0.32
Queens,Elmhurst/Corona,0.337,0.346,0.33,0.346,0.353,0.399,0.359,0.383,0.369,0.395,0.406,0.402,0.338,0.371
Queens,Flushing/Whitestone,0.35,0.341,0.333,0.349,0.337,0.343,0.388,0.36,0.373,0.394,0.427,0.435,0.418,0.426
Queens,Hillcrest/Fresh Meadows,0.306,0.288,0.29,0.293,0.286,0.298,0.323,0.319,0.372,0.355,0.298,0.333,0.333,0.34
Queens,Jackson Heights,0.34,0.321,0.347,0.342,0.319,0.369,0.376,0.375,0.371,0.371,0.363,0.387,0.367,0.354
Queens,Jamaica,0.309,0.33,0.341,0.299,0.314,0.348,0.373,0.377,0.348,0.374,0.324,0.327,0.341,0.328
Queens,Middle Village/Ridgewood,0.322,0.302,0.304,0.285,0.315,0.322,0.329,0.325,0.314,0.29,0.31,0.272,0.285,0.293
Queens,Ozone Park/Woodhaven,0.333,0.368,0.318,0.335,0.323,0.319,0.349,0.344,0.317,0.337,0.354,0.351,0.308,0.337
Queens,Queens Village,0.282,0.298,0.271,0.282,0.29,0.353,0.325,0.325,0.313,0.335,0.296,0.316,0.29,0.288
Queens,Rego Park/Forest Hills,0.322,0.289,0.297,0.277,0.299,0.362,0.288,0.319,0.332,0.317,0.31,0.324,0.296,0.293
Queens,Rockaways,0.287,0.297,0.315,0.29,0.302,0.325,0.303,0.313,0.349,0.333,0.315,0.328,0.298,0.276
Queens,Sunnyside/Woodside,0.306,0.301,0.283,0.286,0.28,0.335,0.341,0.342,0.296,0.344,0.315,0.312,0.31,0.301
Staten Island,Mid-Island,0.319,0.325,0.323,0.315,0.371,0.309,0.284,0.344,0.343,0.329,0.324,0.337,0.292,0.285
Staten Island,North Shore,0.372,0.303,0.315,0.335,0.357,0.362,0.324,0.352,0.322,0.367,0.344,0.365,0.366,0.323
Staten Island,South Shore,0.353,0.3,0.331,0.26,0.272,0.328,0.244,0.246,0.307,0.352,0.262,0.25,0.329,0.271
