hh_inc_rent_med_adj,"Median household income, renters (2018$)",Borough,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
short_name,long_name,Queens,Astoria,42280,49918.71455,50802.16186,54015.14714,49251.3359,48634.48904,48309.53686,54537.96389,51246.75746,55018.42371,56562.28931,60747.23181,64758.91787,62266
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Bay Ridge,53520,56406.99435,49238.25784,52760.57333,52272.85481,47070.10559,49848.31044,47371.60913,50578.72451,51100.40363,55985.72321,56163.08399,57471.53968,56760
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Bayside/Little Neck,57270,65434.54361,63037.26905,62346.86346,64529.938,60434.96179,61849.19784,57599.50864,66513.49456,60451.70599,68726.88876,59905.62716,55813.51083,73347
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Bedford Stuyvesant,28090,21691.6597,30494.3196,34976.03217,27866.14588,30128.86658,28513.15404,34096.24841,30994.81115,31038.16392,31690.13108,43427.83922,38420.0035,45897
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Bensonhurst,43630,34927.35374,39044.54579,37316.89745,37813.47141,36278.47272,39788.28821,44733.6539,43006.61895,42164.45766,39523.65843,43582.65292,41399.76771,41727
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Borough Park,35050,38778.41376,38391.00995,37211.28578,35792.57788,34478.92051,31693.43338,32303.30553,31606.3756,33957.22558,37361.27302,34581.63918,34532.24686,40224
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Brooklyn Heights/Fort Greene,45620,50903.17741,58587.91993,58764.19063,57368.41824,64089.73418,56576.71666,59480.2028,65554.59559,72180.52939,74390.67921,79336.30451,78781.33765,88082
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Brownsville/Ocean Hill,23160,20696.03793,25999.15062,24369.60293,22332.66441,23132.88014,22991.02259,25088.20006,24417.82963,22499.69826,22365.30345,22942.55851,14150.82275,28595
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Bushwick,28940,29742.18536,33871.72526,36932.7495,32788.39082,37329.34759,34101.56432,33739.82653,43837.66473,40450.45532,42756.20934,41965.94077,49379.09524,48815
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Central Harlem,29270,29887.25104,32561.03624,33607.72272,31045.96233,35709.29617,34286.04041,34502.50435,34554.45722,37130.75876,43479.80504,40924.84464,42817.29575,43489
